turtle-id,opinion-sd
170,0.2574048395846642
98,0.321475243471802
347,0.31608349649511025
55,0.21241509581276072
11,0.06696308958674474
249,0.2380388328798829
293,0.30449377629927177
141,0.35859344097113943
343,0.18274766214705598
192,0.2964923293104851
427,0.4303036245566792
447,0.31808082092502965
454,0.3158124057510166
243,0.27202777687695634
262,0.30389455274129096
167,0.3239894550430959
300,0.28501647337459457
401,0.2739259521805524
479,0.29407858395199177
353,0.29563345482146536
126,0.3005225812105385
314,0.2821083774045674
155,0.2952819777173835
227,0.4018527066509524
498,0.3546439629126085
143,0.18946751007720944
430,0.3035145435461207
119,0.3190272481859318
107,0.31513212099282867
396,0.2423574640292285
321,0.24999777948448823
480,0.3212669963634075
426,0.06017709478771863
441,0.3164199085113655
57,0.2816486769367812
213,0.08921074503276565
460,0.2915934162201881
425,0.11041115192826682
201,0.31685120091823016
443,0.40925632397838335
123,0.3206689790731958
229,0.2566823577581405
326,0.2707404062614203
152,0.32395726281877807
12,0.2468553473097884
318,0.36889129528709935
272,0.2976558458143596
432,0.3552056281808175
439,0.3631636451065124
324,0.3000897054396814
180,0.2830040333256491
51,0.09569391124986996
166,0.3862192411637293
424,0.3377113624989565
366,0.31739551573432834
58,0.28315190290220066
38,0.24774374925843956
305,0.2729512899752441
370,0.29074835356884837
246,0.30512391229511326
336,0.26373974301935615
208,0.2252810035383406
228,0.3341298184960963
287,0.31960237227053034
56,0.34484593626900906
173,0.33044906858502093
177,0.2165947472048669
360,0.21924270566364645
105,0.3633688363302266
183,0.41530478050298897
165,0.3538124792366933
251,0.38205538410758744
70,0.2702652159778342
199,0.28549195975853753
331,0.3049729036244017
466,0.26249299315262464
295,0.3379280250076252
216,0.25262707749557756
157,0.2840485582355832
301,0.16140926691843785
217,0.37287148121313896
440,0.23890532450551433
206,0.31988565581960626
334,0.2665944486037278
350,0.15478916137876847
254,0.29240580275394623
277,0.4049216506211932
357,0.36535336034228755
168,0.302650735530166
313,0.300751078608535
77,0.2916258204336258
383,0.2944662676600445
33,0.3372858872189255
207,0.26730556901267283
265,0.28874743122812585
465,0.23788373946532435
367,0.2630059127508049
83,0.06068432956988508
15,0.2653996216173524
154,0.3796671886673177
188,0.3374589675748157
133,0.40348156039969263
292,0.34700037213525253
247,0.32095936856161345
184,0.3148422342963445
7,0.09220350260030595
429,0.2913846647042899
242,0.1540434978445469
395,0.34323442410220484
461,0.30719030525976315
283,0.28092920519117176
352,0.3464002451842373
129,0.40640151776825
